statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
광주대 호심관,광주광역시 남구 효덕로 277,2,24시간 이용가능,35.106031,126.894681,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광주대 학생회관,광주광역시 남구 효덕로 277,2,24시간 이용가능,35.106724,126.895944,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광주 에치티앤에스관세법인광주,광주광역시 북구 첨단과기로208번길 17-31,2,24시간 이용가능,35.2242212,126.8515482,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
광주 ㈜거손,광주광역시 남구 봉선로133번길 15,2,24시간 이용가능,35.1246887,126.9100466,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 첨단3-2차호반리젠시빌아파트,광주광역시 광산구 첨단중앙로68번길 100,2,24시간 이용가능,35.211094,126.8489194,7.0,Y,거주자외 출입제한
광주 ㈜일곡월드스파,광주광역시 북구 설죽로 620,2,24시간 이용가능,35.2143616,126.8984139,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
소촌동국제미소래3차,광주광역시 광산구 소촌로42번길 195,2,24시간 이용가능,35.1535084,126.7975235,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
디프리마수완(유한회사 더벨류에스),광주광역시 광산구 북문대로583번길 35,2,24시간 이용가능,35.2025314,126.8342578,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
에스케이브로드밴드주식회사(광주),광주광역시 동구 금남로 211,2,24시간 이용가능(직원전용),35.1501343,126.9159907,7.0,Y,에스케이브로드밴드 직원만 사용가능
광주하남성심병원,광주광역시 광산구 용아로 259,2,24시간 이용가능,35.1664064,126.8008942,7.0,Y,시설 상황에 따라 이용이 제한될 수 있음
현진에버빌1(1주차장),광주광역시 북구 양산택지소로 20,2,24시간 이용가능,35.213654209,126.88359331,7.0,Y,거주자외 출입제한
현진에버빌2(2주차장),광주광역시 북구 양산택지소로 20,2,24시간 이용가능,35.213370395,126.88305402,7.0,Y,거주자외 출입제한
현진에버빌3(3주차장),광주광역시 북구 양산택지소로 20,2,24시간 이용가능,35.212974013,126.88327424,7.0,N,기타
현진에버빌4(4주차장),광주광역시 북구 양산택지소로 20,2,24시간 이용가능,35.212649315,126.88305505,7.0,Y,거주자외 출입제한
현진에버빌5(5주차장),광주광역시 북구 양산택지소로 20,2,24시간 이용가능,35.212397845,126.88399993,7.0,Y,거주자외 출입제한
하나은행 광주금융센터 급속충전소,광주광역시 동구 금남로 190,4,24시간 이용가능,35.1509999,126.91365,100.0,Y,시설 상황에 따라 이용이 제한될 수 있음
운남주공4단지아파트1 충전소,광주광역시 광산구 목련로273번안길 30,2,24시간 이용가능,35.178820811,126.82304154,7.0,Y,거주자외 출입제한
운남주공4단지아파트2 충전소,광주광역시 광산구 목련로273번안길 30,2,24시간 이용가능,35.177494906,126.82241866,7.0,Y,거주자외 출입제한
