Title,Author,Rating,Views
로로의 일본생활 다이어리,nomo****,9.85,786만
심해 속 푸른 숨결,아래아,9.37,"9,306"
로맨스 신드롬,수안,8.73,2.2만
안즈,챠콜,9.72,12만
드라코 하트 (Drache Heart),성실한미치광이,8.70,16만
어쩌다 주짓수,HereC,9.61,126만
용사 카리엘,kimj****,9.81,2.7만
살인마들,고감자,9.88,137만
자살방지위원회,고감자,9.90,598만
잊혀진 원소와 수정새,깜곰,8.35,"4,961"
해달달해,장보근,9.81,12만
도례 (道禮),휘,8.69,3.8만
헉(hug)하는 사이,윤세인,8.73,5.7만
봉구리 로큰롤,봉구,9.63,17만
RUN,빨간표,9.67,113만
한지붕 새가족,곽마스,9.64,127만
봄비가오면,김엘,8.73,1.2만
비기닝즈,박정운,9.67,2만
녹는점,이응,9.56,12만
오늘의 괴담은 무엇인가요?,레모농초,8.66,"5,661"
서유신마록,해탈D,9.69,52만
좋운날,bell****,9.90,"1,470만"
위탁가족!,조똘복,9.90,117만
멍멍찹찹,두순,9.82,6만
PaSCaL 단편선,PaSCaL,9.67,1.5만
부온아페티토_이탈리아,찌맥,9.90,157만
넘버원 킬러 죽이기,#내일,9.01,2.8만
시체 조작돌,사슴꾼,9.39,3.3만
당신의 가격을 알려드립니다,atq1****,9.75,17만
좀비떼로,오태호 X 햇님,9.50,2.3만
오픈했어요 <매직컬 마카롱>,JE,9.89,7.9만
모브,하나 HANA,9.86,16만
악녀는 이제 그만 퇴장하고 싶습니다,해경,8.41,9만
일상견문록,잼,9.84,185만
우당탕탕 한국어 선생 생존기,휘삐,9.87,194만
후손들의 이야기,셋하나둘은둘셋하나,9.91,154만
"야, 조용히 해.",mong****,8.94,8.1만
경경수의 개발만화,경경수,9.91,2.6만
리아의 맛 좋은 인생,리아작가,9.90,23만
방황하는 태양,키란,9.70,7.2만
악마의 천사,고드,9.56,3만
둘뿐인 교실,둥지,9.51,52만
아내가 임신했다,신서방,9.88,911만
난만도시,선깡,9.35,"7,247"
일찍 자고 일찍 일어나기,방통식,9.89,512만
방문을 열면 그곳엔 괴물,긴편지,9.19,1.2만
곱은 궤,고등어,9.66,2.3만
세이브 디 어스!,맴,9.67,5.4만
리사이클 : 클래식 코드,정훈탁,8.74,11만
1억 받고 고백하기,상체리,9.85,494만
뱀파이어의 연금술,달 심청,9.75,71만
서폿저택에 어서오세요,함소빌,9.87,"2,785만"
옆집에 그녀가 산다,푸유,9.52,51만
별새의 여행자,티스텔라,8.96,2.7만
나만 아는 너,고니,9.47,6.7만
나랑 결혼해줘!,공공공공,9.41,2.2만
달을 따라,또월,9.08,2.4만
별 거 아니겠지,쥐망,9.88,15만
사계절 술술,허니지,9.67,7.9만
지푸라기 상담소,GoBack,9.75,"6,209"
정스 스토리,jung****,9.40,60만
3번째 도막,베베캐롯,9.65,92만
신요혈전,레다판다,8.75,1.6만
요람에서 무덤까지,조이,9.66,10만
파리 여왕,이상아,9.41,5.6만
딸들,해례,9.21,3.5만
솔트 스플래시 챌린지,아인 x 이한,9.54,5.5만
"스물 다섯, 어디로 가야 하죠?",송하트,9.86,218만
나니와 : 오사카 환상선,amy2****,9.88,18만
서늘한 별리,손일지,9.76,"8,336"
소중한 하루를 살다,윤공룡,9.67,37만
용남이 돌아왔다,조항성,9.50,"5,430"
일상다반사,햄츄,9.58,127만
그녀도 외계인?,이젤젤,9.69,2.9만
산호와 로마,빛소금,9.40,"1,591"
너의 완두콩을 먹고 싶어!,니소라스,9.80,5.8만
시한부의 첫사랑,무뉸,8.83,14만
벚나무 태울 불,상철,9.46,2.8만
디바이스,baudouin4,9.82,539만
비행천소녀 (구),한숨,9.59,"9,508"
유사품에 주의하세요,초롱이,9.62,2.6만
클리셰 클럽,하이볼,9.82,17만
겨울잠,임레이스,9.37,6.3만
죠의 괴기만화,죠 jaw,9.77,566만
눈 감은 하늘의 기사,모니,9.25,3.6만
판타지 TV,SOBORU,9.52,11만
들개의 품위,박규원,9.84,13만
미로에 빠진 사랑,배결준,9.88,12만
백시현상,열정꽈배기와 동료작가들,9.64,5.2만
미완성 연애일기,김솜,9.81,3.7만
내 옆에 시체,이도우,8.65,"2,254"
버진캣,털다발,8.46,2.2만
신들의 킬러텔,그릉도파민,9.77,19만
불순물 연애,우짜,8.01,3만
STONE AGE,JA,9.82,173만
견생＆묘생,골댕,8.56,45만
제주정착기,스윗블러드,9.90,61만
너구리툰,너굴맨,8.16,1.2만
조폭소녀,민혁,9.35,31만
무단항해,JUDY,9.22,"7,517"
아름다운 것들,소주,9.09,1.5만
산타가 선물을 안 준다,안정원,9.25,1.7만
백야의 용,정다혜,9.32,2.2만
정확한 연애,정다혜,8.39,1.1만
그랜드피날레,언리얼,9.61,3.3만
충충의 하루,choo****,9.66,78만
당골,남승우,9.78,5.2만
고냥고냥,kimy****,9.89,836만
미신러닝머신,전나무,8.72,2.9만
프로젝트 마르스,영주,9.65,6.5만
따지기,몸냥,8.91,"8,906"
저승파견고용직,호리,9.90,27만
뚱뚱해도 괜찮아yo,버내노,9.85,"9,505"
하늘지기,행거,9.45,"7,833"
바이러스 던전,nts,9.58,4.1만
조만국의 현대만화,조만국,9.53,5.7만
감정경매장,#Brandon,9.87,"2,090"
본격 북유럽 신화 만화,동굴트롤,9.80,163만
내 마눌님은 아이돌,낭토,9.51,2.5만
별을 품은 꽃,상바별,9.07,4.4만
연하는 딱 질색이라,dm10****,9.42,6.6만
청춘금지,심고라,9.65,33만
우당탕 입큰이,입큰이,9.70,420만
스트리트킹,딩히,5.96,6.7만
히로인,시,9.64,8.6만
행복을 찾다.,뚜랸,9.58,15만
시바하루 (시바견의 하루),taeh****,9.69,70만
그악나천,박세계,9.52,"1,232만"
아케미아 아카데미,이영이,9.83,77만
홈 스윗 홈,Limbbo 림뽀,9.88,528만
"(말하기),듣기,쓰기",징종,9.13,4.7만
직장인 다이어리,클락스틸,9.38,292만
대기업의 정석,두랄두랑,9.58,7.8만
리히트,용 과,9.52,2.1만
런어웨이,하제,9.81,609만
오디네리 피플,안카,9.56,39만
크림슨 크로스,신세기,9.77,2.1만
식빵고양이 파운드캣,poun****,9.88,"2,040만"
나라님의 수라,다미,9.37,"8,600"
호러타운,Vincent,9.42,22만
악인의 길,도트,9.06,1.5만
의귀투합,천귀,9.24,14만
투헤븐 (to heaven),그림툴,9.02,4만
통제구역관리부,탄광,9.90,41만
루이와 졸개들 R,이안 겸 코메트,9.77,27만
껍데기,도노,9.25,2.5만
청춘은 바로 지금!,지엔,9.23,4.7만
뼛속까지 이승인,O!O!O!,9.28,1.2만
봄의 편지,연그림,9.88,55만
퇴출행성 세레나데,명명이,9.73,1만
육퇴맨,헤드라이너,9.22,3.4만
별을 향해,직냥이,8.58,13만
마귀꾼,노곤,9.26,3.8만
고대동물기,고제형,9.89,41만
이기적 동맹,구직신사,9.64,5.4만
너라는 발견,이대미,9.61,2.5만
누루누루 음식만화,누루누루,9.91,"1,376만"
보름달이 떠오르길,올망,9.40,"4,303"
아포피스,밀성,9.61,7.1만
모솔탈출 일대기,iove****,9.62,373만
미니어처 게임입니다,한피디,9.75,4.8만
산타시스템,주사위,9.39,"6,807"
